Year,Month,State,Generation
2013,Jun,WY,33.48531
2013,Jul,WY,40.26427
2013,Aug,WY,35.34509
2013,Sep,WY,25.23426
2013,Oct,WY,39.52519
2013,Nov,WY,42.71557
2013,Dec,WY,52.82893
2014,Jan,AK,317.44718
2014,Feb,AK,296.10478
2014,Mar,AK,290.75494
2014,Apr,AK,261.50491
2014,May,AK,264.3781
2014,Jun,AK,261.71346
2014,Jul,AK,269.96467
2014,Aug,AK,267.55649
2014,Sep,AK,195.16916
2014,Oct,AK,252.05755
2014,Nov,AK,297.84008
2014,Dec,AK,313.53101
2014,Jan,AL,4390.03644
2014,Feb,AL,2524.55594
2014,Mar,AL,3780.11578
2014,Apr,AL,2655.92771
2014,May,AL,3825.44753
2014,Jun,AL,4157.09573
2014,Jul,AL,4278.46141
2014,Aug,AL,4760.99054
2014,Sep,AL,4441.18375
2014,Oct,AL,4242.81365
2014,Nov,AL,4781.32451
2014,Dec,AL,4432.12141
2014,Jan,AR,1010.86204
2014,Feb,AR,589.17291
2014,Mar,AR,791.84697
2014,Apr,AR,741.03817
2014,May,AR,846.36236
2014,Jun,AR,1062.50664
2014,Jul,AR,896.88393
2014,Aug,AR,1036.19457
2014,Sep,AR,754.47159
2014,Oct,AR,622.97229
2014,Nov,AR,533.17186
2014,Dec,AR,728.2247
2014,Jan,AZ,1385.75582
2014,Feb,AZ,1359.22479
2014,Mar,AZ,717.07524
2014,Apr,AZ,1238.39032
2014,May,AZ,1862.00276
2014,Jun,AZ,3000.74549
2014,Jul,AZ,4264.09969
2014,Aug,AZ,4025.02916
2014,Sep,AZ,3630.49086
2014,Oct,AZ,2657.15318
2014,Nov,AZ,1885.41072
2014,Dec,AZ,1216.50066
2014,Jan,CA,10657.38229
2014,Feb,CA,9959.62035
2014,Mar,CA,8610.77229
2014,Apr,CA,8195.34059
2014,May,CA,8235.18247
2014,Jun,CA,8134.58947
2014,Jul,CA,11509.08061
2014,Aug,CA,11885.36689
2014,Sep,CA,12433.53245
2014,Oct,CA,12257.3552
2014,Nov,CA,8879.43792
2014,Dec,CA,9668.77496
2014,Jan,CO,775.84638
2014,Feb,CO,775.89913
2014,Mar,CO,1024.82746
2014,Apr,CO,630.70098
2014,May,CO,999.87349
2014,Jun,CO,993.06576
2014,Jul,CO,1237.12029
2014,Aug,CO,1052.76398
2014,Sep,CO,1104.52229
2014,Oct,CO,1133.91843
2014,Nov,CO,1125.49654
2014,Dec,CO,1099.77354
2014,Jan,CT,879.33201
2014,Feb,CT,960.48067
2014,Mar,CT,1016.38253
2014,Apr,CT,1270.39955
2014,May,CT,1169.47854
2014,Jun,CT,1305.22762
2014,Jul,CT,1631.14969
2014,Aug,CT,1554.3663
2014,Sep,CT,1172.50214
2014,Oct,CT,1023.89027
2014,Nov,CT,1244.8902
2014,Dec,CT,1455.80535
2014,Jan,DC,5.22866
2014,Feb,DC,3.83656
2014,Mar,DC,5.02127
2014,Apr,DC,5.25072
2014,May,DC,5.83832
2014,Jun,DC,6.25568
2014,Jul,DC,6.87549
2014,Aug,DC,7.24404
2014,Sep,DC,6.38127
2014,Oct,DC,5.60175
2014,Nov,DC,4.84131
2014,Dec,DC,5.23709
2014,Jan,DE,290.06094
2014,Feb,DE,288.8199
2014,Mar,DE,441.12647
2014,Apr,DE,408.32294
2014,May,DE,426.73067
2014,Jun,DE,602.9914
2014,Jul,DE,711.53806
2014,Aug,DE,741.17476
2014,Sep,DE,671.8835
2014,Oct,DE,498.93046
2014,Nov,DE,602.75786
2014,Dec,DE,613.12144
2014,Jan,FL,10586.28516
2014,Feb,FL,8096.35758
2014,Mar,FL,10745.52602
2014,Apr,FL,11859.42974
2014,May,FL,12562.81483
2014,Jun,FL,12675.1237
2014,Jul,FL,14124.50566
2014,Aug,FL,15137.31556
2014,Sep,FL,13145.06913
2014,Oct,FL,12371.82399
2014,Nov,FL,9101.28547
2014,Dec,FL,9628.53278
2014,Jan,GA,3138.36286
2014,Feb,GA,2058.80629
2014,Mar,GA,2692.32846
2014,Apr,GA,2560.41326
2014,May,GA,3156.51255
2014,Jun,GA,3704.50966
2014,Jul,GA,3928.42191
2014,Aug,GA,4502.54852
2014,Sep,GA,4013.08679
2014,Oct,GA,4065.59976
2014,Nov,GA,3626.49277
2014,Dec,GA,3513.7151
2014,Jan,HI,
2014,Feb,HI,
2014,Mar,HI,
2014,Apr,HI,
2014,May,HI,
2014,Jun,HI,
2014,Jul,HI,
2014,Aug,HI,
2014,Sep,HI,
2014,Oct,HI,
2014,Nov,HI,
2014,Dec,HI,
2014,Jan,IA,87.37393
2014,Feb,IA,40.62801
2014,Mar,IA,14.92089
2014,Apr,IA,53.00759
2014,May,IA,184.27074
2014,Jun,IA,156.12503
2014,Jul,IA,107.57659
2014,Aug,IA,227.70575
2014,Sep,IA,100.90498
2014,Oct,IA,144.63761
2014,Nov,IA,104.1529
2014,Dec,IA,151.21126
2014,Jan,ID,396.68208
2014,Feb,ID,315.4077
2014,Mar,ID,53.76803
2014,Apr,ID,32.57692
2014,May,ID,128.51841
2014,Jun,ID,76.10702
2014,Jul,ID,284.76403
2014,Aug,ID,389.86822
2014,Sep,ID,341.03454
2014,Oct,ID,169.77681
2014,Nov,ID,200.19387
2014,Dec,ID,163.84009
2014,Jan,IL,676.268
2014,Feb,IL,161.57329
2014,Mar,IL,231.40545
2014,Apr,IL,186.97728
2014,May,IL,631.26939
2014,Jun,IL,554.7058
2014,Jul,IL,396.50278
2014,Aug,IL,739.3812
2014,Sep,IL,460.57611
2014,Oct,IL,579.99254
2014,Nov,IL,384.58207
2014,Dec,IL,462.19116
2014,Jan,IN,1124.81905
2014,Feb,IN,914.55241
2014,Mar,IN,900.30479
2014,Apr,IN,606.4734
2014,May,IN,750.96256
2014,Jun,IN,603.52423
2014,Jul,IN,676.53491
2014,Aug,IN,744.60007
2014,Sep,IN,534.22691
2014,Oct,IN,764.56504
2014,Nov,IN,1071.1137
2014,Dec,IN,880.66937
2014,Jan,KS,140.80516
2014,Feb,KS,105.87666
2014,Mar,KS,55.37278
2014,Apr,KS,110.90927
2014,May,KS,191.64796
2014,Jun,KS,136.0487
2014,Jul,KS,164.11667
2014,Aug,KS,187.10204
2014,Sep,KS,100.18509
2014,Oct,KS,80.34664
2014,Nov,KS,104.28911
2014,Dec,KS,75.82331
2014,Jan,KY,562.2411
2014,Feb,KY,308.79507
2014,Mar,KY,394.44636
2014,Apr,KY,356.75667
2014,May,KY,135.70324
2014,Jun,KY,106.77964
2014,Jul,KY,119.69046
2014,Aug,KY,95.45713
2014,Sep,KY,61.49139
2014,Oct,KY,43.42364
2014,Nov,KY,185.30546
2014,Dec,KY,129.50913
2014,Jan,LA,4996.04155
2014,Feb,LA,4130.48029
2014,Mar,LA,3849.12641
2014,Apr,LA,4296.90728
2014,May,LA,5083.43101
2014,Jun,LA,4942.37629
2014,Jul,LA,5113.5668
